iter	Passed	Remaining
0	58	58868
1	59	29558
2	59	19770
3	59	14876
4	60	11941
5	60	9987
6	60	8591
7	60	7543
8	61	6726
9	61	6071
10	61	5541
11	61	5100
12	62	4728
13	62	4405
14	62	4127
15	63	3880
16	63	3663
17	63	3470
18	63	3297
19	64	3141
20	64	3001
21	64	2872
22	64	2755
23	65	2648
24	65	2549
25	65	2457
26	65	2373
27	66	2295
28	66	2221
29	66	2154
30	66	2092
31	67	2033
32	67	1977
33	67	1924
34	67	1874
35	68	1827
36	68	1784
37	68	1743
38	69	1702
39	69	1664
40	69	1627
41	69	1593
42	70	1559
43	70	1527
44	70	1496
45	70	1467
46	70	1439
47	71	1412
48	71	1386
49	71	1362
50	72	1342
51	72	1321
52	72	1300
53	73	1280
54	73	1260
55	73	1241
56	73	1221
57	74	1203
58	74	1185
59	74	1167
60	74	1151
61	75	1135
62	75	1119
63	75	1104
64	75	1089
65	75	1075
66	76	1061
67	76	1045
68	76	1033
69	76	1021
70	77	1008
71	77	997
72	77	985
73	77	973
74	78	962
75	78	951
76	78	941
77	78	930
78	79	921
79	79	912
80	79	902
81	79	892
82	79	883
83	80	874
84	80	864
85	80	856
86	80	846
87	80	838
88	81	830
89	81	822
90	81	814
91	81	807
92	82	799
93	82	792
94	82	786
95	82	780
96	83	773
97	83	766
98	83	760
99	83	753
100	84	747
101	84	740
102	84	734
103	84	728
104	84	723
105	85	717
106	85	711
107	85	706
108	85	700
109	85	695
110	86	690
111	86	685
112	86	680
113	86	675
114	87	670
115	87	665
116	87	661
117	87	657
118	88	651
119	88	647
120	88	642
121	88	638
122	88	633
123	89	629
124	89	624
125	89	620
126	89	616
127	89	611
128	90	608
129	90	604
130	90	600
131	90	596
132	90	593
133	91	589
134	91	585
135	91	582
136	91	578
137	92	574
138	92	571
139	92	568
140	92	564
141	92	561
142	93	558
143	93	554
144	93	551
145	93	548
146	94	545
147	94	542
148	94	539
149	94	536
150	94	533
151	95	530
152	95	528
153	95	525
154	95	522
155	96	520
156	96	517
157	96	514
158	96	512
159	97	509
160	97	506
161	97	504
162	97	501
163	97	499
164	98	496
165	98	494
166	98	491
167	98	490
168	99	488
169	99	485
170	99	483
171	99	481
172	100	478
173	100	476
174	100	474
175	100	472
176	101	470
177	101	467
178	101	465
179	101	463
180	101	461
181	102	458
182	102	456
183	102	454
184	102	452
185	102	450
186	103	448
187	103	446
188	103	444
189	103	442
190	104	440
191	104	439
192	104	437
193	104	435
194	104	433
195	105	431
196	105	429
197	105	428
198	105	426
199	106	424
200	106	423
201	106	421
202	106	419
203	107	418
204	107	416
205	107	414
206	107	413
207	108	411
208	108	409
209	108	408
210	108	406
211	108	405
212	109	403
213	109	402
214	109	400
215	109	399
216	110	397
217	110	396
218	110	394
219	110	393
220	111	391
221	111	390
222	111	388
223	111	387
224	112	386
225	112	384
226	112	383
227	112	381
228	113	380
229	113	379
230	113	377
231	113	376
232	113	375
233	114	373
234	114	372
235	114	371
236	114	369
237	115	368
238	115	367
239	115	366
240	115	364
241	116	363
242	116	362
243	116	360
244	116	359
245	116	358
246	117	357
247	117	356
248	117	354
249	117	353
250	118	352
251	118	351
252	118	350
253	118	349
254	119	347
255	119	346
256	119	345
257	119	344
258	119	343
259	120	342
260	120	340
261	120	339
262	120	338
263	121	337
264	121	336
265	121	335
266	121	334
267	122	333
268	122	332
269	122	331
270	122	330
271	123	329
272	123	328
273	123	327
274	123	326
275	124	325
276	124	324
277	124	323
278	124	322
279	125	321
280	125	320
281	125	319
282	125	318
283	125	317
284	126	316
285	126	315
286	126	314
287	126	313
288	127	312
289	127	311
290	127	310
291	127	309
292	128	309
293	128	308
294	128	307
295	128	306
296	129	305
297	129	304
298	129	303
299	129	302
300	129	301
301	130	300
302	130	300
303	130	299
304	130	298
305	131	297
306	131	296
307	131	295
308	132	295
309	132	294
310	132	293
311	132	292
312	132	291
313	133	290
314	133	289
315	133	289
316	133	288
317	134	287
318	134	286
319	134	285
320	134	285
321	134	284
322	135	283
323	135	282
324	135	281
325	135	280
326	136	280
327	136	279
328	136	278
329	136	277
330	137	276
331	137	276
332	137	275
333	137	274
334	138	273
335	138	273
336	138	272
337	138	272
338	139	271
339	139	270
340	139	270
341	140	269
342	140	268
343	140	268
344	140	267
345	141	266
346	141	265
347	141	265
348	141	264
349	142	264
350	142	263
351	142	262
352	143	262
353	143	261
354	143	260
355	143	260
356	144	259
357	144	258
358	144	258
359	144	257
360	145	256
361	145	256
362	145	255
363	145	254
364	145	253
365	146	253
366	146	252
367	146	251
368	146	251
369	147	250
370	147	249
371	147	249
372	147	248
373	147	247
374	148	246
375	148	246
376	148	245
377	148	244
378	149	244
379	149	243
380	149	242
381	149	242
382	150	241
383	150	241
