iter	Passed	Remaining
0	59	59321
1	59	29760
2	59	19909
3	60	14979
4	60	12021
5	60	10051
6	61	8660
7	61	7616
8	61	6792
9	61	6136
10	62	5606
11	62	5163
12	63	4788
13	63	4462
14	63	4177
15	63	3928
16	64	3706
17	64	3509
18	64	3333
19	64	3174
20	65	3031
21	65	2901
22	65	2781
23	65	2674
24	66	2574
25	66	2482
26	66	2396
27	66	2316
28	66	2242
29	67	2173
30	67	2108
31	67	2046
32	67	1989
33	68	1935
34	68	1883
35	68	1836
36	68	1790
37	69	1748
38	69	1707
39	69	1668
40	69	1631
41	69	1595
42	70	1563
43	70	1531
44	70	1501
45	70	1472
46	71	1444
47	71	1417
48	71	1391
49	71	1367
50	72	1343
51	72	1320
52	72	1298
53	72	1278
54	73	1257
55	73	1238
56	73	1221
57	74	1202
58	74	1184
59	74	1167
60	74	1150
61	74	1134
62	75	1118
63	75	1103
64	75	1089
65	75	1075
66	76	1061
67	76	1049
68	76	1037
69	77	1025
70	77	1012
71	77	1000
72	77	989
73	78	977
74	78	966
75	78	955
76	78	945
77	79	935
78	79	925
79	79	915
80	79	906
81	80	896
82	80	886
83	80	877
84	80	868
85	80	859
86	81	851
87	81	844
88	81	835
89	81	828
90	82	820
91	82	812
92	82	805
93	82	798
94	83	791
95	83	784
96	83	777
97	83	771
98	84	765
99	84	759
100	84	753
101	84	746
102	85	740
103	85	734
104	85	728
105	85	723
106	86	717
107	86	712
108	86	707
109	86	701
110	86	696
111	87	692
112	87	687
113	87	682
114	87	676
115	88	671
116	88	666
117	88	662
118	88	657
119	89	653
120	89	648
121	89	643
122	89	640
123	90	636
124	90	631
125	90	627
126	90	622
127	90	619
128	91	616
129	91	613
130	91	609
131	92	605
132	92	602
133	92	598
134	92	595
135	93	591
136	93	588
137	93	584
138	93	581
139	94	577
140	94	574
141	94	570
142	94	567
143	94	563
144	95	560
145	95	557
146	95	554
147	95	551
148	96	548
149	96	545
150	96	542
151	96	539
152	96	536
153	97	533
154	97	530
155	97	528
156	97	525
157	98	522
158	98	519
159	98	517
160	98	513
161	98	511
162	99	508
163	99	506
164	99	503
165	99	501
166	99	498
167	100	496
168	100	493
169	100	491
170	101	489
171	101	487
172	101	485
173	101	482
174	101	480
175	102	478
176	102	476
177	102	473
178	102	471
179	103	469
180	103	467
181	103	465
182	103	463
183	104	461
184	104	459
185	104	457
186	104	455
187	104	452
